16666666
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
2234130163173	2234145800000	2234144254891
2234146290939	2234162457780	2234160892765
2234162500448	2234179276798	2234177563593
2234179181017	2234195787528	2234194236223
2234195719408	2234212743160	2234210912244
2234212818692	2234229810931	2234227566368
2234229697486	2234246706183	2234244260338
2234246012153	2234261904679	2234260913870
2234262848147	2234278894722	2234277579313
2234279486703	2234295547767	2234294252483
2234296630754	2234312064001	2234310898687
2234313813395	2234328672797	2234327558576
2234329855275	2234345506021	2234344233058
2234348526306	2234361776192	2234360896227
2234362506034	2234379019781	2234377570945
2234378923668	2234395726154	2234394227259
2234395608618	2234411953263	2234410914156
2234412913887	2234428504526	2234427573134
2234430013839	2234445228058	2234444224168
2234445814941	2234461747210	2234460892103
2234462408699	2234478459482	2234477559718
2234478995523	2234495642255	2234494230797
2234495890975	2234511783307	2234510909182
2234513449264	2234528671444	2234527565310
2234528831154	2234545656534	2234544226724
2234545582883	2234561651740	2234560897597
2234562120001	2234578523034	2234577557087
2234578770415	2234594994781	2234594227873
2234595552011	2234611676767	2234610889091
2234612525264	2234628263520	2234627552238
2234629284108	2234644999022	2234644232513
2234645839748	2234661671475	2234660894633
2234662200317	2234678311647	2234677555310
2234679831078	2234695366468	2234694234128
2234696777296	2234712076802	2234710903872
2234713995844	2234728719110	2234727562894
2234728928633	2234745826791	2234744227361
2234745770736	2234761780083	2234760895497
2234763437582	2234778260160	2234777562822
2234778859615	2234795214384	2234794243870
2234795959787	2234811719011	2234810894724
2234812297492	2234828546036	2234827560387
2234828742999	2234845101455	2234844226380
2234845579612	2234861947976	2234860898645
2234862374601	2234878363906	2234877560282
2234879860536	2234895911292	2234894225158
2234895805289	2234912018889	2234910894014
2234912727417	2234929089271	2234927589309
2234928982152	2234945523720	2234944239815
2234945475683	2234961679717	2234960894476
2234965817103	2234978666514	2234977564684
2234978874099	2234995367895	2234994580392
2234996093969	2235011661198	2235010914538
2235012238557	2235028607710	2235027657243
2235028986102	2235045915711	2235044310245
2235045846848	2235061859589	2235060940579
2235062338285	2235078546866	2235077796200
2235079140958	2235095187485	2235094342001
2235095855575	2235112595717	2235110941085
2235112529106	2235128817215	2235127694959
2235129023950	2235146061716	2235144453363
2235145947584	2235162053308	2235160997054
2235162661169	2235179340539	2235177612996
2235179217461	2235195339224	2235194339328
2235196342565	2235212022519	2235211047411
2235212817597	2235229401583	2235227680982
2235229288741	2235245985061	2235244300535
2235245876887	2235261667259	2235260917371
2235262326590	2235279059743	2235277654731
2235278965147	2235296035418	2235294254914
2235296108327	2235311755095	2235310928387
2235312600991	2235329407569	2235327903842
2235329324721	2235346013730	2235344428753
2235345934609	2235361721577	2235360908342
2235362485551	2235379582551	2235377810146
2235379470329	2235395079700	2235394357373

